City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,,,,,,,,,,,,,
Hyderabad,28/04/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,,,,,,,,,,,,
Hyderabad,29/04/18,103,56.65,111.24,85.49,117.42,1.08,97.85,,,,,,,,,,,,,
Hyderabad,30/04/18,101,55.55,109.08,83.83,115.14,1.06,95.95,,,,,,,,,,,,,
Hyderabad,01/05/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,,,,,,,,,,,,
Hyderabad,02/05/18,81,44.55,87.48,67.23,92.34,0.85,76.95,,,,,,,,,,,,,
Hyderabad,03/05/18,100,55,108,83,114,1.05,95,,,,,,,,,,,,,
Hyderabad,04/05/18,68,37.4,73.44,56.44,77.52,0.71,64.6,,,,,,,,,,,,,
Hyderabad,05/05/18,68,37.4,73.44,56.44,77.52,0.71,64.6,,,,,,,,,,,,,
Hyderabad,06/05/18,80,44,86.4,66.4,91.2,0.84,76,,,,,,,,,,,,,
Hyderabad,07/05/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,,,,,,,,,,,,
Hyderabad,08/05/18,96,52.8,103.68,79.68,109.44,1.01,91.2,,,,,,,,,,,,,
Hyderabad,09/05/18,105,57.75,113.4,87.15,119.7,1.1,99.75,,,,,,,,,,,,,
Hyderabad,10/05/18,73,40.15,78.84,60.59,83.22,0.77,69.35,,,,,,,,,,,,,
Hyderabad,11/05/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,,,,,,,,,,,,
Hyderabad,12/05/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,,,,,,,,,,,,
Hyderabad,13/05/18,104,57.2,112.32,86.32,118.56,1.09,98.8,,,,,,,,,,,,,
Hyderabad,14/05/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,15/05/18,74,40.7,79.92,61.42,84.36,0.78,70.3,,,,,,,,,,,,,
Hyderabad,16/05/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,,,,,,,,,,,,
Hyderabad,17/05/18,109,59.95,117.72,90.47,124.26,1.14,103.55,,,,,,,,,,,,,
Hyderabad,18/05/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,,,,,,,,,,,,
Hyderabad,19/05/18,106,58.3,114.48,87.98,120.84,1.11,100.7,,,,,,,,,,,,,
Hyderabad,20/05/18,95,52.25,102.6,78.85,108.3,1,90.25,,,,,,,,,,,,,
Hyderabad,21/05/18,134,73.7,144.72,111.22,152.76,1.41,127.3,,,,,,,,,,,,,
Hyderabad,22/05/18,105,57.75,113.4,87.15,119.7,1.1,99.75,,,,,,,,,,,,,
Hyderabad,23/05/18,113,62.15,122.04,93.79,128.82,1.19,107.35,,,,,,,,,,,,,
Hyderabad,24/05/18,92,50.6,99.36,76.36,104.88,0.97,87.4,,,,,,,,,,,,,
Hyderabad,25/05/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,26/05/18,70,38.5,75.6,58.1,79.8,0.74,66.5,,,,,,,,,,,,,
Hyderabad,27/05/18,77,42.35,83.16,63.91,87.78,0.81,73.15,,,,,,,,,,,,,
Hyderabad,28/05/18,75,41.25,81,62.25,85.5,0.79,71.25,,,,,,,,,,,,,
Hyderabad,29/05/18,77,42.35,83.16,63.91,87.78,0.81,73.15,,,,,,,,,,,,,
Hyderabad,30/05/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,31/05/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,,,,,,,,,,,,
Hyderabad,01/06/18,108,59.4,116.64,89.64,123.12,1.13,102.6,,,,,,,,,,,,,
Hyderabad,02/06/18,72,39.6,77.76,59.76,82.08,0.76,68.4,,,,,,,,,,,,,
Hyderabad,03/06/18,85,46.75,91.8,70.55,96.9,0.89,80.75,,,,,,,,,,,,,
Hyderabad,04/06/18,78,42.9,84.24,64.74,88.92,0.82,74.1,,,,,,,,,,,,,
Hyderabad,05/06/18,74,40.7,79.92,61.42,84.36,0.78,70.3,,,,,,,,,,,,,
Hyderabad,06/06/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,
Hyderabad,07/06/18,60,33,64.8,49.8,68.4,0.63,57,,,,,,,,,,,,,
Hyderabad,08/06/18,62,34.1,66.96,51.46,70.68,0.65,58.9,,,,,,,,,,,,,
Hyderabad,09/06/18,55,30.25,59.4,45.65,62.7,0.58,52.25,,,,,,,,,,,,,
Hyderabad,10/06/18,47,25.85,50.76,39.01,53.58,0.49,44.65,,,,,,,,,,,,,
Hyderabad,11/06/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,12/06/18,73,40.15,78.84,60.59,83.22,0.77,69.35,,,,,,,,,,,,,
Hyderabad,13/06/18,80,44,86.4,66.4,91.2,0.84,76,,,,,,,,,,,,,
Hyderabad,14/06/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,,,,,,,,,,,,
Hyderabad,15/06/18,85,46.75,91.8,70.55,96.9,0.89,80.75,,,,,,,,,,,,,
Hyderabad,16/06/18,63,34.65,68.04,52.29,71.82,0.66,59.85,,,,,,,,,,,,,
Hyderabad,17/06/18,66,36.3,71.28,54.78,75.24,0.69,62.7,,,,,,,,,,,,,
Hyderabad,18/06/18,53,29.15,57.24,43.99,60.42,0.56,50.35,,,,,,,,,,,,,
Hyderabad,19/06/18,44,24.2,47.52,36.52,50.16,0.46,41.8,,,,,,,,,,,,,
Hyderabad,20/06/18,63,34.65,68.04,52.29,71.82,0.66,59.85,,,,,,,,,,,,,
Hyderabad,21/06/18,48,26.4,51.84,39.84,54.72,0.5,45.6,,,,,,,,,,,,,
Hyderabad,22/06/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,23/06/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,24/06/18,42,23.1,45.36,34.86,47.88,0.44,39.9,,,,,,,,,,,,,
Hyderabad,25/06/18,47,25.85,50.76,39.01,53.58,0.49,44.65,,,,,,,,,,,,,
Hyderabad,26/06/18,41,22.55,44.28,34.03,46.74,0.43,38.95,,,,,,,,,,,,,
Hyderabad,27/06/18,53,29.15,57.24,43.99,60.42,0.56,50.35,,,,,,,,,,,,,
Hyderabad,28/06/18,53,29.15,57.24,43.99,60.42,0.56,50.35,,,,,,,,,,,,,
Hyderabad,29/06/18,56,30.8,60.48,46.48,63.84,0.59,53.2,,,,,,,,,,,,,
Hyderabad,30/06/18,59,32.45,63.72,48.97,67.26,0.62,56.05,,,,,,,,,,,,,
Hyderabad,01/07/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,02/07/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,03/07/18,48,26.4,51.84,39.84,54.72,0.5,45.6,,,,,,,,,,,,,
Hyderabad,04/07/18,58,31.9,62.64,48.14,66.12,0.61,55.1,,,,,,,,,,,,,
Hyderabad,05/07/18,58,31.9,62.64,48.14,66.12,0.61,55.1,,,,,,,,,,,,,
Hyderabad,06/07/18,44,24.2,47.52,36.52,50.16,0.46,41.8,,,,,,,,,,,,,
Hyderabad,07/07/18,62,34.1,66.96,51.46,70.68,0.65,58.9,,,,,,,,,,,,,
Hyderabad,08/07/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,09/07/18,48,26.4,51.84,39.84,54.72,0.5,45.6,,,,,,,,,,,,,
Hyderabad,10/07/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,11/07/18,46,25.3,49.68,38.18,52.44,0.48,43.7,,,,,,,,,,,,,
Hyderabad,12/07/18,41,22.55,44.28,34.03,46.74,0.43,38.95,,,,,,,,,,,,,
Hyderabad,13/07/18,35,19.25,37.8,29.05,39.9,0.37,33.25,,,,,,,,,,,,,
Hyderabad,14/07/18,40,22,43.2,33.2,45.6,0.42,38,,,,,,,,,,,,,
Hyderabad,15/07/18,57,31.35,61.56,47.31,64.98,0.6,54.15,,,,,,,,,,,,,
Hyderabad,16/07/18,36,19.8,38.88,29.88,41.04,0.38,34.2,,,,,,,,,,,,,
Hyderabad,17/07/18,36,19.8,38.88,29.88,41.04,0.38,34.2,,,,,,,,,,,,,
Hyderabad,18/07/18,41,22.55,44.28,34.03,46.74,0.43,38.95,,,,,,,,,,,,,
Hyderabad,19/07/18,51,28.05,55.08,42.33,58.14,0.54,48.45,,,,,,,,,,,,,
Hyderabad,20/07/18,42,23.1,45.36,34.86,47.88,0.44,39.9,,,,,,,,,,,,,
Hyderabad,21/07/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,22/07/18,69,37.95,74.52,57.27,78.66,0.72,65.55,,,,,,,,,,,,,
Hyderabad,23/07/18,66,36.3,71.28,54.78,75.24,0.69,62.7,,,,,,,,,,,,,
Hyderabad,24/07/18,57,31.35,61.56,47.31,64.98,0.6,54.15,,,,,,,,,,,,,
Hyderabad,25/07/18,56,30.8,60.48,46.48,63.84,0.59,53.2,,,,,,,,,,,,,
Hyderabad,26/07/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,27/07/18,53,29.15,57.24,43.99,60.42,0.56,50.35,,,,,,,,,,,,,
Hyderabad,28/07/18,56,30.8,60.48,46.48,63.84,0.59,53.2,,,,,,,,,,,,,
Hyderabad,29/07/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,
Hyderabad,30/07/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,,,,,,,,,,,,
Hyderabad,31/07/18,76,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,
Hyderabad,01/08/18,77,42.35,83.16,63.91,87.78,0.81,73.15,,,,,,,,,,,,,
Hyderabad,02/08/18,75,41.25,81,62.25,85.5,0.79,71.25,,,,,,,,,,,,,
Hyderabad,03/08/18,95,52.25,102.6,78.85,108.3,1,90.25,,,,,,,,,,,,,
Hyderabad,04/08/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,,,,,,,,,,,,
Hyderabad,05/08/18,64,35.2,69.12,53.12,72.96,0.67,60.8,,,,,,,,,,,,,
Hyderabad,06/08/18,81,44.55,87.48,67.23,92.34,0.85,76.95,,,,,,,,,,,,,
Hyderabad,07/08/18,55,30.25,59.4,45.65,62.7,0.58,52.25,,,,,,,,,,,,,
Hyderabad,08/08/18,60,33,64.8,49.8,68.4,0.63,57,,,,,,,,,,,,,
Hyderabad,09/08/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,10/08/18,50,27.5,54,41.5,57,0.53,47.5,,,,,,,,,,,,,
Hyderabad,11/08/18,46,25.3,49.68,38.18,52.44,0.48,43.7,,,,,,,,,,,,,
Hyderabad,12/08/18,39,21.45,42.12,32.37,44.46,0.41,37.05,,,,,,,,,,,,,
Hyderabad,13/08/18,29,15.95,31.32,24.07,33.06,0.3,27.55,,,,,,,,,,,,,
Hyderabad,14/08/18,45,24.75,48.6,37.35,51.3,0.47,42.75,,,,,,,,,,,,,
Hyderabad,15/08/18,71,39.05,76.68,58.93,80.94,0.75,67.45,,,,,,,,,,,,,
Hyderabad,16/08/18,36,19.8,38.88,29.88,41.04,0.38,34.2,,,,,,,,,,,,,
Hyderabad,17/08/18,45,24.75,48.6,37.35,51.3,0.47,42.75,,,,,,,,,,,,,
Hyderabad,18/08/18,37,20.35,39.96,30.71,42.18,0.39,35.15,,,,,,,,,,,,,
Hyderabad,19/08/18,47,25.85,50.76,39.01,53.58,0.49,44.65,,,,,,,,,,,,,
Hyderabad,20/08/18,51,28.05,55.08,42.33,58.14,0.54,48.45,,,,,,,,,,,,,
Hyderabad,21/08/18,26,14.3,28.08,21.58,29.64,0.27,24.7,,,,,,,,,,,,,
Hyderabad,22/08/18,30,16.5,32.4,24.9,34.2,0.32,28.5,,,,,,,,,,,,,
Hyderabad,23/08/18,45,24.75,48.6,37.35,51.3,0.47,42.75,,,,,,,,,,,,,
Hyderabad,24/08/18,51,28.05,55.08,42.33,58.14,0.54,48.45,,,,,,,,,,,,,
Hyderabad,25/08/18,56,30.8,60.48,46.48,63.84,0.59,53.2,,,,,,,,,,,,,
Hyderabad,26/08/18,60,33,64.8,49.8,68.4,0.63,57,,,,,,,,,,,,,
Hyderabad,27/08/18,60,33,64.8,49.8,68.4,0.63,57,,,,,,,,,,,,,
Hyderabad,28/08/18,61,33.55,65.88,50.63,69.54,0.64,57.95,,,,,,,,,,,,,
Hyderabad,29/08/18,64,35.2,69.12,53.12,72.96,0.67,60.8,,,,,,,,,,,,,
Hyderabad,30/08/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,31/08/18,84,46.2,90.72,69.72,95.76,0.88,79.8,,,,,,,,,,,,,
Hyderabad,01/09/18,69,37.95,74.52,57.27,78.66,0.72,65.55,,,,,,,,,,,,,
Hyderabad,02/09/18,49,26.95,52.92,40.67,55.86,0.51,46.55,,,,,,,,,,,,,
Hyderabad,03/09/18,48,26.4,51.84,39.84,54.72,0.5,45.6,,,,,,,,,,,,,
Hyderabad,04/09/18,52,28.6,56.16,43.16,59.28,0.55,49.4,,,,,,,,,,,,,
Hyderabad,05/09/18,71,39.05,76.68,58.93,80.94,0.75,67.45,,,,,,,,,,,,,
Hyderabad,06/09/18,73,40.15,78.84,60.59,83.22,0.77,69.35,,,,,,,,,,,,,
Hyderabad,07/09/18,83,45.65,89.64,68.89,94.62,0.87,78.85,,,,,,,,,,,,,
Hyderabad,08/09/18,46,25.3,49.68,38.18,52.44,0.48,43.7,,,,,,,,,,,,,
Hyderabad,09/09/18,83,45.65,89.64,68.89,94.62,0.87,78.85,,,,,,,,,,,,,
Hyderabad,10/09/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,,,,,,,,,,,,
Hyderabad,11/09/18,77,42.35,83.16,63.91,87.78,0.81,73.15,,,,,,,,,,,,,
Hyderabad,12/09/18,70,38.5,75.6,58.1,79.8,0.74,66.5,,,,,,,,,,,,,
Hyderabad,13/09/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,,,,,,,,,,,,
Hyderabad,14/09/18,83,45.65,89.64,68.89,94.62,0.87,78.85,,,,,,,,,,,,,
Hyderabad,15/09/18,89,48.95,96.12,73.87,101.46,0.93,84.55,,,,,,,,,,,,,
Hyderabad,16/09/18,98,53.9,105.84,81.34,111.72,1.03,93.1,,,,,,,,,,,,,
Hyderabad,17/09/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,18/09/18,66,36.3,71.28,54.78,75.24,0.69,62.7,,,,,,,,,,,,,
Hyderabad,19/09/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,20/09/18,81,44.55,87.48,67.23,92.34,0.85,76.95,,,,,,,,,,,,,
Hyderabad,21/09/18,89,48.95,96.12,73.87,101.46,0.93,84.55,,,,,,,,,,,,,
Hyderabad,22/09/18,56,30.8,60.48,46.48,63.84,0.59,53.2,,,,,,,,,,,,,
Hyderabad,23/09/18,68,37.4,73.44,56.44,77.52,0.71,64.6,,,,,,,,,,,,,
Hyderabad,24/09/18,61,33.55,65.88,50.63,69.54,0.64,57.95,,,,,,,,,,,,,
Hyderabad,25/09/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,26/09/18,109,59.95,117.72,90.47,124.26,1.14,103.55,,,,,,,,,,,,,
